section,metric,value
reported,assetsCurrent,755654000
reported,liabilitiesCurrent,214558000
reported,liabilitiesTotal,548406000
reported,stockholdersEquity,633023000
reported,inventory,603955000
reported,goodwill,0
reported,intangibles,0
reported,tangibleBookValue,633023000
reported,ncav,207248000
reported,earningsBeforeTax,54483000
reported,ebitda,136958000
lifoFifoAdjustments,lifoReserve,359300000.0
lifoFifoAdjustments,deferredTaxOnLifoReserve,89500000.0
lifoFifoAdjustments,taxRatePct,24.9
lifoFifoAdjustments,lifoCharge,34474000
lifoFifoAdjustments,fifoInventory,963255000.0
lifoFifoAdjustments,adjustedEarningsBeforeTax,88957000
lifoFifoAdjustments,adjustedNetEarnings,67114000
lifoFifoAdjustments,fifoEbitda,171432000
calculated,adjustedEquityPreTax,992323000.0
calculated,adjustedEquityAfterTax,902823000.0
calculated,adjustedTangibleBookPreTax,992323000.0
calculated,adjustedTangibleBookAfterTax,902823000.0
calculated,ncavFifoPreTax,566548000.0
calculated,ncavFifoAfterTax,477048000.0
